sentence,doc,n
"must be able to work varied shifts, including nights, weekends and holidays",20,1
"must have a minimum of 4 years data, bi, master data management and/or customer database experience; working knowledge of siebel crm data model preferred",25,1
"must have ability to autonomously manage simultaneous projects in a fast paced business environmentmust have experience working with big data, algorithms, and large-scale databases",39,1
must have an aptitude for leadership,39,1
must have critical thinking skills necessary to evaluate results in order to make decisionsmust demonstrate intellectual curiosity and persistence to find answers,39,1
must have excellent organizational skills,4,1
must have passion for data,39,1
must have the capability to quickly learn the syteline system,4,1
"must impact the multiple properties and work across multiple departments, as well as with third parties and guests",20,1
"must manage multiple projects and competing deadlines, and be very detail-oriented and organized",20,1
must possess advanced communication and interpersonal skills and be comfortable working within large groups,25,1
national mi is an equal employment opportunity employer and is committed to a diverse workforce,32,1
"ncoa, householding, data append strategy)acquire business data for purposes of cleansing and migration to siebel crm and ucm and related databases and tools; coordinate data cleansing efforts with the businessin collaboration with the it department, develop logic and scripts to validate and load data from source to target systemsdevelop and run testing and validation plansdeliver analysis and status reportssystems maintenance and enhancementsact main conduit between business users and it groups to facilitate issues resolution, new enhancement for the siebel customer master",25,1
"nielsen, an s&p 500 company, has operations in over 100 countries that cover more than 90 percent of the world’s population",39,1
"nielsen’s watch segment provides media and advertising clients with total audience measurement services across all devices where content — video, audio, and text — is consumed",39,1
nuveen - 30+ days ago - save job - original jobapply nowapply on company sitesave this job,22,1
"nuveen is driven not only by the independent investment processes across the firm, but also the insights, risk management, analytics and other tools and resources a truly world-class platform provides",22,1
"nuveen.composition summary:the global distribution solutions group works across sales, marketing, product, and service teams to build processes and functionality to solve key problems to help drive our business forward",22,1
on-going data verification and confirmation receipt of all data values and historical data as specifiedprovides on-going support to the production team to qa and monitor system processing of various data sources,16,1
one of the main objectives of the data steward will be to ensure assigned organization data assets are “fit for purpose” – generally this ensures data meets or exceeds data quality and integrity requirements at a level that supports successful business operations,32,1
"one or more data, insurance or functional certifications such as iia, dmip, lima, aidm, cidm, or cpa helpful but not required",11,1
"organize, plan, work on multiple projects, prioritize, and meet deadlines",29,1
orients new employees to their roles and to the company,41,1
other duties may be assigned,40,1
other job dutiesassists with the management of account closure process for kyc operations,18,1
our analytics team is growing and will particularly focus on improved performance across the dealer network and retail environment,31,1
"our company works and lives by a set of core values which include integrity, service, passion and value add which are the roots of our success",48,1
"our compelling culture supports inclusion, individuality and respect within the workplace",5,1
"our energetic and service-oriented colleagues embrace fresh ideas, new perspectives, a diversity of experiences, and a dedication to service to meet the needs of the many people and businesses relying on us each day",41,1
our ongoing growth is creating exceptional opportunities for professional development and personal enrichment throughout our organization,25,1
our people focus on service and consistently drive for results,48,1
"our silica, high purity quartz, feldspar, nepheline syenite, calcium carbonate, clay, kaolin, lime and limestone products are the fundamental building blocks of nearly every industrial and manufacturing process",5,1
"our team of more than 10,000 employees is vital to the success ofour bank",18,1
our vision at petco is healthier pets,25,1
oversee creation and execution of test plans,35,1
"oversee the creation and modification of raw, finished, and licensed good materials",35,1
"overviewpurpose of job:the data governance office (dgo) master data steward will be responsible for executing our data management framework for improving data quality, cleanliness, timeliness, and accessibility across the enterprise",33,1
"paid on billable timehours: 40 hours per week, monday through friday, at client locationlocation: redwood city, cajob type: contracteducation: bachelor'sjob type: contractsalary: $50.00 to $60.00 /hourexperience:pharmaceutical: 1 year (required)education:bachelor's (preferred)location:redwood city, ca (required)9 days ago - save job - report jobbe an early applicant on indeedapply nowapply nowsave this job",6,1
participate in data governance and other projects related to and reliant on master data,35,1
participate in testing processesensure consistent use of terms in user documentation and training materials,32,1
participate in the effort to ensure that the enterprise data strategy aligns organizational structure of psjheducation psjh associates at all levels regarding the role and purpose of the enterprise data strategy,24,1
participates actively in cna data governance council,11,1
participates in integrated data architecture discussions and recommends use of existing or new data elements that will enhance current systems and support overall corporate and business goals,11,1
partner with business data stewards to ensure business goals and drivers are supported,35,1
partner with it support and business teams to resolve master data incidents,35,1
"partnering with business units to ensure policies and procedures are defined and operationalized for patient, provider, payor and supply chain domains is an essential accountability",24,1
partners with technology to create an infrastructure and processes that adhere to the edm standards and other regulatory mandates,7,1
passion for delivering quality work and practicing continuous improvement,4,1
"people leadershiplead a team of 2-4 customer data specialists or data stewards ensuring timely execution of customer data management prioritiesfully responsible for hiring, coaching, performance management and firing decisions for data specialist or data stewardsdevelop a dynamic staffing model to augment full time staff with needs-based availability of a contractor pool from which trained resources can be brought on board to contribute to specific data management projects to define needs, validate and test the implementation and train the marketing users on changeskey performance indicatorscustomer database quality (completeness, validity, freshness)number of accounts or contacts in databasenumber or percentage of database growth for target markets and personasimprovement in speed-to-market for marketing initiatives through less time and effort spent in customer segmentation, personalization and targetingdecrease in data management cost through elimination of manual processes for customer data clean upqualificationsbasic skills:b.s",47,1
"perform as backup in a variety of areas, including planning, shipping and receiving, and purchasing as needed",4,1
perform other duties as assigned by management,29,1
performs a variety of data related support tasks as needed,16,1
performs activities in the company’s master database tool to establish and maintain customer and account profiles,41,1
performs editing of the existing data either as a result of a request from the field locations or as a result of performing data quality assurance procedures,41,1
performs other duties and responsibilities as assigned,41,1
performs other duties as assigned,18,1
performs other related duties as assigned,20,1
performs quality assurance procedures as outlined in the company’s standard operating procedures,41,1
performs standard queries and searches to identify data inconsistencies,41,1
performs timely entry of data into the respective operating system tables,41,1
"persuasive in influencing strategic architecture direction, framing reference architectures, specifying policies and standards, drive consensus on target state architectures, and influence roadmaps",44,1
petco - 2 days ago - save job - original jobapply nowapply on company sitesave this job,25,1
"physical requirements:must be able to:lift or carry 20 pounds, unassisted, in the performance of specific tasks, as assigned",20,1
physically access all areas of the property and drive areas with or without a reasonable accommodation,20,1
plans and documents best practices for consistent consumption of data through analytics platforms and apis,49,1
please apply on our website for consideration,1,1
"please note, the company's pay transparency is available at http://www.dol.gov/ofccp/pdf/eo13665_prescribednondiscriminationpostinglanguage_jrfqa508c.pdf",8,1
"please reply with a word version of your resume, if you are interested",3,1
"plus, we have a flexible paid-time-off program including time off for volunteer opportunities",26,1
"point person for assigned organization reference data – responsible for the control, update, and retirement of internal code sets (and values) and other relevant reference data",32,1
position descriptionally invest is seeking an experienced data steward to implement and maintain an appropriate data governance program within the line of business,26,1
"position detailsposition location: dearborn, midepartment: information technologyreports to: manager of master data managementflsa: exemptjob band: professinalsummaryunder the direction of the manager of master data management, the technical data steward manages all aspects of a data domain (i.e. customer, consumer, product, vendor, etc",35,1
"position location: hershey, pasummary:the enterprise master data steward is accountable for the management of the company's technical specification data assets in order to improve and maintain timeliness and quality of the data",45,1
"position overview:the primary responsibility of the steward – casino data is to develop metrics, visualizations & reporting to determine best practices and recommend data-driven strategy related to various marketing and operations initiatives",20,1
"position purpose:the senior data steward analyst will be for our san diego, ca location and will be responsible to efficiently acquire, cleanse/scrub, convert, and migrate data obtained from various sources, e.g., siebel crm, obiee, ucm, mdm in order to help drive key marketing program initiatives; and to coordinate the standardization and maintenance of metrics across multiple analytic systems",25,1
"position qualificationsknowledge, skills and abilities microsoft office suite including intermediate level proficiency with excel ability to effectively prioritize and execute task, and meet project deadlines in a fast-paced, every changing environment",40,1
possesses some exposure to or knowledge and expertise in data modeling and/or data management techniques and strategies,32,1
possesses some influence management skills.,11,1
"posting job requirementseducation, experience, knowledge and skillsminimum of 8 years of experience in any of the following disciplines: data management/governance, regulatory compliance, data analysis & remediation, process analysis & improvementstrong expertise in property domain (appraisal, mls, tax, transactions etc)bachelor's degree or equivalent experience in a business or technology field; mba preferredsolid understanding of data modeling, data warehousing, data quality management, and data governance principlesexperience working with the data systems supporting lines of business, including experience writing queries and stored procedures is a plusunderstand software development life cycle (sdlc) and data life cycle (dlc)strong analytical and problem solving skills-ability to understand business and technical functions, process information quickly, assess impacts to data elementsexcellent communication (oral and written) skillsunderstands new/improved tools and methodology to maintain metadata management, data quality and integritybig data experience is a plus; data governance tools experience is a plus (such as collibra, informatica idq etc)credit bureau experience a plus or alternate finial services/subprime credit exposurecorelogic offers an empowered work environment that encourages creativity, initiative and professional growth and provides a competitive salary and benefits package",1,1
"preferred -bachelor’s degree1+ years of experience and understanding of big data technologies (hadoop, hive, spark)1+ years of experience on front-end web development with javascript/htmlexperience in documenting business processes, preferably with jira/confluence toolsunderstanding and use of agile methodologies of developmentbest buy - 16 days ago - save job - original jobapply nowapply on company sitesave this job",49,1
preferred qualificationsexperience in the healthcare fieldknowledge of insurance payorsprior leadership/supervisory experienceassoc,41,1
prepare materials for annual certification and participate in audits as required,13,1
"prepares data for collection in digital analytics tools (adobe analytics), configuring transformation and processing prior to storage",49,1
present historical inaccuracies and issues to management for prioritizationwork to resolve historical inaccuracies through coding solutions or working with developerscollaborate with business analysts and developers to create new data quality rules as needed in data profiling tool,29,1
"primary duties:utilize data profiling software to identify data quality issues in daily data loadscommunicate issues with leadership and obtain signoff to manually resolve issuesresolve manually issues and document changes in auditable detailupdate data profiling tool as needed when new databases, tables, or fields are developed",29,1
"primary responsibilities and activitiesthe primary function is to develop, implement and maintain data governance policies and procedures relating to business glossary, data catalogs, master data management, data quality, metadata management, information life-cycle management, and business process integration",44,1
"primary responsibilities include supporting the management of data within compliance and ensuring a high level of data quality, integrity, privacy, availability, security and usability",42,1
"primary responsibilities: customer data management strategydefine the strategic agenda for customer data managementestablish a clear and concise customer data management process at staples and align all stakeholders across different functions and departments at staplesdefine the data acquisition strategy to ensure that desired levels of depth, breadth and quality are achieved within defined timeframe",47,1
"primary responsibilities: partner with internal stakeholders to ensure data quality standards are met and data is available in real-time to the case management teamcommunicate effectively in oral and written fashion to internal and external business partners in order to present data results, communicate data issues, data needs and data correctionscorrect, transform and enrich multiple sources of data for analytical useassist the manager in creating quarterly business reviews to be presented to management and the network pharmacy partnersprepare standard and ad-hoc data reports on a regular basis for the vertex pharmacy networkwork with the case management team to identify data quality issues and assist the case managers during data clean-up projectsqualification:bachelor’s degree3+ years of experience using microsoft excel in an advanced capacityexperience handling unstructured data and formulating reportsstrong adherence to data privacy standards and ethicspreferred qualifications: previous experience in healthcare, pharmacy or pharmaceutical industry3+ years of experience using excel macros and pivot tablesunderstanding of patient services programsstrong organizational skillsability to work independently yet function as a team playerability to work in a fast-paced environment with a focus on multi-tasking and self-prioritized workloadattention to detail and committed follow-through in communication to stakeholdersexcellent written communication skills, presentation delivery and strong interpersonal skillsvertex - 24 days ago - save job - original jobapply nowapply on company sitesave this job",28,1
"principal, data steward- consumer creditcorelogic603 reviews-irving, txcorelogic603 reviewsread what people are saying about working here",1,1
"prior experience in working with community of data scientists to understand their data needs, data utilization in advanced analytical use cases",44,1
"prior experience with application, reporting, and/or database development using programming languages or reporting tools is a plus",32,1
"prior experience within insurance, mortgage, finance, or related industry is a plus",32,1
"pro-actively gather information, as needed, to work independently as well as in a team environment",39,1
problem solving skills,39,1
"procedures writer, data steward specialist-1805086descriptionprofessional within data steward function responsible for procedures process mapping and task level procedures documentation across data steward and data remediation function in support of high priority data programs and bau activities",13,1
"procedures writer, data steward specialistsantander bank2,099 reviews-dorchester, masantander bank2,099 reviewsread what people are saying about working here",13,1
"product data quality stewardbose701 reviews-stow, mabose701 reviewsread what people are saying about working here",8,1
"product data stewardthermo fisher scientific1,932 reviews-carlsbad, ca 92009thermo fisher scientific1,932 reviewsread what people are saying about working here",15,1
"proficiency in sql including joins, inserts, updates, creates, alters, subqueries, pivots, loops, cases, and basic data transformation functions",29,1
proficiency with microsoft business software and ability to adapt to new systems,41,1
"proficient in microsoft office suite tools for productivity, analytics and presentations",32,1
"proficient in microsoft powerpivot, power query, and power bi are a plus",32,1
"proficient skills with a computer, especially microsoft office products",4,1
proof of authorization/eligibility to work in the united states,20,1
properly aligns customer and account relationships within the master data base,41,1
proven ability to quickly earn the trust of peers and key stakeholders; mobilize and motivate teams; set direction and approach; resolve conflict; deliver tough messages with grace; execute with limited information and ambiguity,32,1
"proven experience driving data quality initiatives, joining data from disparate systems and finding new ways to provide data consumers easy access to the information they needability to work with business owners and data consumers to de ne data and reporting requirementsability to work independently and influence other stakeholders to create alignment on complex topic with often opposite viewpointsability to provide a vision and act as an advocate for data managementmust have thorough understanding of current data cleansing, warehousing and unification strategies and tools to apply that knowledge in defining future state of customer data definitions and taxonomymust have solid multi-year experience effectively partnering with it organizations to ensure implementation of marketing/business needs within strict time constraintsproven experience leading teams tocreative problem solver with high attention to detail and must be comfortable working in cross-functional and heavily matrixed environmentmust be customer-centric in thinking with process-orientation and solid understanding of customer lifecycle to drive implementation of customer data strategy across the organizatioknowledge of these marketing tools and technologies are needed to be successful in this role:marketing and sales automation platformsbusiness intelligence toolsdata modeling and analytics toolscontent management/web content management/digital media and social media toolspreferred skills:mba strongly preferredstaples is an equal opportunity employer",47,1
"provide a digital intelligence & optimization experience that enhances our culture, mission and values",49,1
provide post go-live support,35,1
"provide recommendations for changesreview and/or begin to help define specific data element business definition values in partnership with the business process owners, data governance officers and information architectsreview and/or capture metadata, review profiling results, document data quality problems and identify data quality monitoring required to provide clarity/certificationsubmit new elements and change requests to edgaprovide status on assigned work items for management and stakeholders on a recurring basisunder the direction of his/her manager, the analyst ii, data steward is expected to engage with assigned areas within the business operations to develop knowledge and subject matter expertise of the business process, system of record, authoritative sources and their usageunder the direction of the data governance officer or his/her manager, will monitor data quality business rules and data quality metrics in conjunction with the consumers and producers of data produced or consumed from their business functional areasupports the cde identification process and escalates data issues to the data governance officersparticipate in data related working groupdocument processes for how we will periodically perform audits on web tags and adherence to regulationsdefine critical data elements and appropriate usageserve as a liaison for the digital marketing team, our martech vendors and our internal privacy officers in regard to cookie and privacy policiesprovide expertise, communicate and implement project support for:future federal and state laws/regulations within the us that affect the way we do business todayprovide interpretation of compliance, law and regulatory changes to credit union management and lines of business as neededmonitor implementation of corrective actions to address compliance-related issues revealed during monitoring activities, internal audits, and regulatory examinationsidentify, track, and resolve/escalate privacy data issues and/or risksprovide reporting and updates for working teams, business owners, and executivescollaborate with department managers on solutions to overcome compliance concernsserve as a contact for data governance activities within the digital marketing analytics departmentparticipate in the implementation of the data management plan for their functional business area to ensure compliance with the tda data management policy and data standardspartner with source system owners, subject matter experts, and other data stewards to implement the data management strategy across their respective bu on behalf of their data governance officerwith direction, identify data quality problems through profiling and advanced analysis and work with sr",2,1
provide system data and analysis needed for continuous improvement projects,4,1
"providence does not discriminate on the basis of race, color, gender, disability, veteran, military status, religion, age, creed, national origin, sexual identity or expression, sexual orientation, marital status, genetic information, or any other basis prohibited by local, state, or federal law",38,1
providence is proud to be an equal opportunity employer,38,1
providence strategic and management services provides a variety of functional and system support services for all eight regions of providence health & services from alaska to california,38,1
provides informal data-related technical guidance and formally leads teams on a project basis,11,1
provides support tasks for continuousenhancements of the business line 1st line of defense set-up,18,1
"provides support to production teams by troubleshooting data processing issues, collecting and analyzing data and reporting scope of issues and recommended fixes within the production environments",16,1
"providing infusion therapies and services to over 20,000 patients each month, coram cares for patients through all phases of their healthcare continuum including clinical and compliance monitoring, and individual patient counseling",41,1
"qualifications: bachelor’s or master’s degree in computer science or a related field with outstanding analytical expertise.3 or more years of experience and demonstrated domain expertise with one or more of the following: data manipulation, data engineering, data integration, trend or pattern recognition, data aggregation, data fusion, process automation, operations management, project management, or quality assurancemust be proficient with python, spark, and sql",39,1
qualifications: possesses a thorough understanding of data managementextensive business knowledge of ficc and/or equities clearance products and services,21,1
"qualifications5+ years' experience in domain subject matter3-5+ years of experience in banking industrybackground in using data for business reporting and analysisstrong data quality experienceproject leadership experienceability to generate respect and trust from staff and external constituenciesability to translate business requirements into technical requirements demonstrated success in leadership role and visionflexible and has a wide range of expertiseexcellent interpersonal, communications, public speaking, and presentation skillsexperience in performance management metricsknowledge of the data sources, transformation rules, and uses of the data for the area of stewardshipsolid working knowledge of budgeting, systems, business development, and strategic planningstrong project management leadershipjob:central financial managementprimary location:massachusetts-bostonorganization:chief financial officer (8455)schedule:full-timejob posting:jul 12, 2018, 6:20:34 pmsantander bank - 30+ days ago - save job - original jobapply nowapply on company sitesave this job",12,1
qualificationsequal employment opportunity policybank of the west is an equal opportunity employer and proud to provide equal employment opportunity to all job seekerswithout regard to any status protected by applicable law,19,1
"qualificationsexperience working in a team-oriented, collaborative environment",42,1
quality and innovation are at the foundation of covia; but our real strength is our employees,5,1
queries and analyzes quality assurance data and related reporting in both the field operating system and the master database tool,41,1
read more about the equal employment opportunity law,22,1
readily adapts to change,11,1
"relies on experience and judgment to plan and implement process improvementsdata validation and support utilizes software to monitor systems, develops quality metrics and actionable recommendations",16,1
remains externally focused by providingtechnical consultation to clients and it management to ensure development of efficient application systems utilizingestablished procedures and methodologies and data policy; influences the development of said data policy.,11,1
"reporting relationship - reports to manager or above; relationships with business partners in it, finance, actuarial and data stewards helpful in resolution of issue, root cause analysis, and driving result - oriented change",11,1
"required skills and experience:5+ years related experienceprevious middle office/ops experience with secured funding, debt or equity securities preferredfunctional knowledge and experience with traded products; repurchase agreement (repo), reverse repo, securities lending, and securities borrowing , securities inventory/trading account assets/trading account liabilities",7,1
required skills:bachelor's degree required,29,1
"required skillso demonstrated competence in translating business requirements into business processes and associated business ruleso ability to effectively manage and prioritize concurrent projects while being responsive to changing business needso aptitude for technology with ability to absorb new ideas and concepts quickly by associating solutions to meet key objectiveso data-driven, highly organized and detail oriented with a knack for finding data anomalieso strong business acumen with aptitude to evolve with the organizationo advanced proficiency in microsoft office products, specifically excel and accesso strong analytical and problem-solving abilitieso excellent written, oral, interpersonal, and presentational skills with ability to communicate effectively with peers, managers, software vendors and strategic partnerso ability to work independently and as a contributing member of a teamrequired experienceo bachelor’s degree or an equivalent combination of education and experienceo 1-3 years of experience with transactional data resolution or data managementwaddell and reed - 30+ days ago - save job - original jobapply nowapply on company sitesave this job",9,1
"requires 4 - 6 years technology and business systems analyst experience, preferably in marketing crm or digital marketing space",25,1
"requires a fundamental understanding of crm and erp related business processes, as well as the ability to grasp and learn the specifics to our business",25,1
"requires a minimum of 4 years experience working with data in several different formats (database, flat files, office, etc",25,1
"requires a solid understanding of relational data structures and modeling, the ability to query data and document data flows as well as translate that into useable documents for the business",25,1
responsibilities: data stewards are responsible for assessing and improving the quality of a client’s data to help safeguard corporate information intelligence,6,1
"responsibilities: execute product data changes for approved change orders plm and erp systemsrun report and queries related to the change management activitiesmanage and maintain accurate records of all in-process product change order workflow, which is the vehicle to execute the request for changespossess the ability (verbal, written, and email) to communicate effectively with internal customer(s) to collect product related informationability to provide end-users status updates on their requestsmay perform other related duties as required and/or assigned skillseducation and qualifications: associate's degree from accredited college/university or equivalent experienceminimum of 1 to 3 years relevant experience in a data management; helpful to have awareness of manufacturing, planning, or quality responsibilities in a change control environmentfamiliarity with plm and erp/mrp systems is desirableproficient in ms office, outlook, excel (v-lookup, pivot tables, formulas, charts)possess strong applied technical knowledge of word, access, and projectsolid keyboard touch-type techniquemust be able to work and thrive in an ever changing fast-paced environmentmaintain quality records in compliance with iso standardsas necessary, evaluate erp system data to verify accuracywill take part in mass data updates into plm and erp systems and testing of report modificationsmay take part in continuous improvement, kaizen, and lean process initiativesattributeswillingness to learn new ways to accomplish a taskcomfortable with aggressive timelinescreative problem solvingcomposure under pressureability to present ideas in a confident mannerif you are an individual with a disability who requires reasonable accommodation to complete any part of our application process, click here for further assistance",15,1
responsibilities: learn and become an expert in how big data flows through nielsen systems in order to create reliable data views that will feed into client inquiry processes,39,1
responsibilitiesestablish processes and standard operating procedures for master data management including defining data quality and match/merge rules,35,1
"responsibilitiesprimary roles & responsibilitiescreate and maintain master data attributes for customers, suppliers, parts, solutions, and items",33,1
responsibilitiesprovide data governance support to manage compliance risk across state street,42,1
responsible for integrity of data collected to ensure that reporting remains consistent and meaningful,49,1
responsible for knowledge transfer and training with analysts to ensure an understanding of available data structures,49,1
responsible for verifying all data to be entered into database meets set standards and requirements,16,1
"results-oriented, diligent, and works with a sense of urgency",32,1
review and update existing procedures on an annual basis,13,1
review process and procedure documentation,35,1
"rewards and benefits that will take care of you and your family including a generous pto plan, short-term incentives (aka: bonus), health, dental, vision, 401(k), paid caregiver leave and so much more",49,1
risk managementidentify data risks and issues they arise and escalate as necessary,32,1
schedule: full-timeshift: dayjob category: information technologylocation: washington-rentonother location(s): california-anaheimreq id: 198234providence health & services - 5 days ago - save job - original jobapply nowapply on company sitesave this job,38,1
"security and privacyprovide assigned data security and privacy requirements (data classification); identify and resolve data security or privacy issues, security audits",32,1
"self-starter with partiality towards proactive discovery, a passion for customer data, ability to work cross-functionally, relentless focus on the details, and strong experience with bi and data tools",25,1
"self-starter, ability to work independently ability to understand and document processes perform to a high level of accuracy in all tasks detailed oriented and organized highly adaptable, flexible and willing to accept new ideas, processes and procedures knowledge of gs1 standards for global trade item number (upc)work environment normal office environment prolonged sitting in front of a computer exposure to manufacturing environmenteducation associate’s degree required in related field; or an equivalent combination of education and experience",40,1
"senior data steward – psjhprovidence health & services1,171 reviews-anaheim, ca 92805providence health & services1,171 reviewsread what people are saying about working here",38,1
"senior data steward analystpetco3,235 reviews-san diego, ca 92127petco3,235 reviewsread what people are saying about working here",25,1
"senior data steward psjhsjh system office-anaheim, caprovidence st",24,1
"senior digital analyst – digital data stewardbest buy18,437 reviews-richfield, mnbest buy18,437 reviewsread what people are saying about working here",49,1
"senior manager, customer data stewardstaples9,126 reviews-framingham, ma 01702staples9,126 reviewsread what people are saying about working here",47,1
sep 2016tavant technologies - 30+ days ago - save job - original jobapply nowapply on company sitesave this job,32,1
"serve as a contributing member of project teams(s), or leader of project team(s), coordinating resources to ensure achievement of project activities as assigned",29,1
"service desk support: responsible for trouble shooting and resolving and level 2 service issues related to data management within the environmentevaluates issues and escalates global service desk data support issues to level 3 development as requiredon-going production support and data auditing processes as neededresponsible for the production data audit process and reporting for all deploymentsensures procedures are monitored and maintained following each releaseaudits stored procedures for nightly program prospect generationassists development with pre-production qa and post production validationother: assists analytic services team with ad hoc reporting and data management processing as requestedassists bi and dba with identifying opportunities for implementing automated reporting and auditing proceduresextract data from the system for ad hoc analysis by the analytics teamprofessional experience / qualificationsideal candidates will have the following qualifications and skills:bachelor’s degree preferred in a related area4-7 years of experience in the field or in a related areademonstrated proficiency with sql across multiple platforms – experience with both oltp and data warehouse solutions preferredexperience with etl processestroubleshooting complex data processesability to work independentlyexperience developing documentation of data and processespreferred qualificationsbackground in online media or within a software as a service (saas) organization a plusexperience in development of reports in tableau, looker or similarjob type: full-timeexperience:saas: 1 year (preferred)tableau: 1 year (preferred)etl process: 1 year (required)information technology: 4 years (required)sql development: 1 year (required)27 days ago - save job - report jobapply nowapply on company sitesave this job",16,1
"sets-up and maintains the master data in the erp systems and other supporting systems of material masters, advanced planning systems, future master data management systems, etc",40,1
"skilled in business domain modeling and logical and physical relational data modeling/design using sap tools and other emerging tools (such as tableau) for self-service analytics needsability to do data asset discovery, data profiling to ascertain delivery of high quality data through data governance",44,1
"skilled in data analysis and facilitation, i.e., able to produce data designs using a variety of inputs such as requirements analysis, sme interviews, business process and data flow analysis, data profiling, etc",44,1
skillful at learning new system applications/functions.,11,1
"skills and experience requirements: demonstrated success with leading and enhancing client data stewardship programspharmaceutical experience required, minimum 1 yearfundamental understanding of mdm and crm technologiesproficient in microsoft office, including excel, access, powerpoint and visio systemsexceptional written and oral communication skills, including the ability to present ideas and suggestions clearly and effectivelysuperior organizational skills; ability to accomplish multiple tasks within the agreed upon timeframes through effective prioritization of duties and functions in a fast paced environmentstrong analytical skills and attention to detailexperience with iqvia data and/or medical information desiredexperience with commercial sales operations functions desiredundergraduate degree requiredadditional information: rate: based upon experience, $50-60/hour",6,1
"skills, knowledge & abilities",11,1
socialize the value of the data governance program including benefits for stakeholders,42,1
"socialize the value of the data governance program including benefits for stakeholders; rules for engagement; and the enforcement of data policies and standards with operational procedures and governed solutionsensure the area data management practices include the right steps, activities, and deliverables to consistently achieve high quality data",10,1
solid analytical and problem solving skills.,11,1
"solid communication, interpersonal and presentation skills to work effectively among all levels of internal/externalpartners/clients.",11,1
"specific responsibilities for the lead steward include:oversee the work of the stewardship team, compiling metrics and reports to monitor and measure sla’s and performance, and ensuring the timely completion of deliverables within the contracted sla’sdevelop sop’s, work instructions and process flows for stewardship engagementsidentify and document opportunities for improvement and/or optimization within current engagement(s) to better manage costs, improve throughput, and/or improve client/steward satisfaction",6,1
"specific responsibilities: work with the stakeholders to define business terms; define and document source(s) for each critical element; determine and document the authoritative source of data; gather, document and populate colibra with required metadata",21,1
sr,15,1
"sr data steward will partner at both at the department and functional levels, to define, document and operationalize data governance policies and procedures across psjh",24,1
"stable industry - the packaging industry is a particularly stable one because, no matter how the economy is doing there is always a need for containers to carry consumer products",48,1
staples - 6 days ago - save job - original jobapply nowapply on company sitesave this job,47,1
staples is an equal opportunity employer,47,1
state street - 3 days ago - save job - original jobapply nowapply on company sitesave this job,42,1
state street - 3 days ago - save job - report job - original jobapply nowapply on company sitesave this job,46,1
step one of this strategic acceleration is adding talent who can blow the doors wide open with innovation and creativity while staying true to the harley-davidson brand and legacy,31,1
"steward - casino datalas vegas sands corp.42 reviews-las vegas, nvlas vegas sands corp.42 reviewsread what people are saying about working here",20,1
strong analytical and problem solving skills,35,1
strong culture - we strive to create and sustain a great work environment in which we are able to achieve and exceed personal and professional goals,48,1
strong detail orientation and time management skills,41,1
strong facilitation skills,35,1
strong interpersonal and communication skills,42,1
strong interpersonal skills with the ability to communicate effectively with guests and other team members of different backgrounds and levels of experience,20,1
strong organizational skills with demonstrated ability to prioritize workload and attention to detail,35,1
"strong presentation skillsstrong analytical skillstravel: limited travel required ( < 5%)equal employment opportunity is not just the law, it’s our commitment",22,1
strong self-motivational skills with ability to drive results,42,1
strong technical skills are preferredminimum of 8 years’ experience in financial services industry,21,1
"strong understanding of data governance and management concepts, policies and practices",42,1
"strong understanding of enterprise integrationhighly-motivated individual with strong analytical skills, intellectual curiosity and proven leadership skillsstrong communication, presentation, interpersonal, negotiating and influencing skillsexperience with data governance tools such as informatica axon or collibra strongly preferredabout the department you will serve",38,1
"strong understanding of enterprise integrationhighly-motivated individual with strong analytical skills, intellectual curiosity and proven leadership skillsstrong communication, presentation, interpersonal, negotiating and influencing skillsexperience with data governance tools such as informatica axon or collibra strongly preferredst",24,1
"strong understanding of processes and tools relating to business glossary, master data management, data quality, metadata management, information life-cycle management, and business process integrationhands on experience and in-depth knowledge of working with market leading data governance tools such as collibra",44,1
strong verbal and written communication skills,29,1
"summary:the data steward role reports directly to the senior director, data warehouse; this person is responsible for utilizing existing tools to identify, prioritize, and resolve data quality issues",29,1
summary:the enterprise master data steward is accountable for the management of the company's technical specification data assets in order to improve and maintain timeliness and quality of the data,36,1
"supervisory responsibility:none, but the incumbent works cross-functionally within the entire organization, requiring the ability to functionally manage up and down; also works closely with/but not reporting to petco it resources",25,1
support business teams in preparation of seasonal sales tools,35,1
"support the collection and maintenance of key business metadata including data definitions; rules; lineage; data lifecycle; security; privacy; and process, organization, location and application models",42,1
"support the resolution of data, information and processing challenges that have an adverse impact on the operational environment and/or business performance",42,1
"tableau, spotfire, quicksight)preferred experience with databricks, scala",39,1
take your career to the next level,49,1
"taxonomy development and implementationdefine an architecture to develop a common customer taxonomy and definitions including customer contacts, accounts and activities (engagement as well as transactions) data sets",47,1
team members are expected to behave in a manner that supports a harmonious work environment to help us deliver unmatched service to our guests and customers,20,1
"team members are required to observe the company’s standards, work requirements and rules of conduct",20,1
"technical data stewardcarhartt105 reviews-dearborn, mi 48126carhartt105 reviewsread what people are saying about working here",35,1
"temporary contract, 6 monthsvertex pharmaceuticals incorporated is currently looking for a data steward to join the patient services (guidance and patient support [gps]) operations team in boston, ma",28,1
"temporary data steward, patient servicesvertex pharmaceuticals180 reviews-boston, ma 02114temporary, contractvertex pharmaceuticals180 reviewsread what people are saying about working here",28,1
